ID,Start_time,End_time,English,Español,Gloss
181,227251,227632,and after blowing out all the air,(y) al acabársele el aire,cl.d(5):flujo-aire B:INTENTAR 
182,227653,228810,its jaw gets dislocated.,se le desencaja la mandíbula.,CARA cl.e(Xa):MANDÍBULA-descender 
183,229874,230402,The house had not moved.,La casa no se había movido., cl.e:CASA 
184,230434,231327,"""How (can that be? thinks the unbelieving wolf).","""¿Cómo (puede ser? piensa incrédulo el lobo).", G:incredulidad CÓMO 
185,231387,232401,This is impossible,Es imposible, IMPOSIBLE hhh 
186,232522,233677,The house is solid.,la casa (es) sólida., CASA PIEDRA 
187,233802,234963,(The wolf takes) a look (at the house),(El lobo echa) un vistazo (a la casa), G:concentración MIRAR 
188,234993,235904,and sees (something at the top).,(en la parte superior) ve (algo).,B:MIRAR MIRAR 
189,235988,236293,(The wolf has) an idea,(El lobo tiene) una idea,MENTE 
190,236360,237494,On the roof is a chimney,en el tejado hay una chimenea, CASA cl.d(B):chimenea-sobre-casa cl.e:CASA HABER B:cl.e:CASA 
191,237543,238175,that is billowing smoke.,que echa humo.,cl.d(5d):humo B:cl.e:CASA cl.e(5d):CHIMENEA B:cl.e:CASA 
192,238229,239245,"""I will take advantage of the chimney"" (thinks the wolf).","""Aprovecharé la chimenea""( piensa el lobo).",INDX B:cl.e:CASA APROVECHAR B:cl.e:CASA 
193,239278,240375,The wolf climbs on the roof.,El lobo sube al tejado trepando., TREPAR cl.e(2d):PERSONA-ascender+a-casa cl.e:CASA 
194,240817,243102,"The three brothers... the two: ""Look Up Up Up Up!""","Los tres hermanos... los dos: ""¡MIra arriba arriba!""",VER TRES HERMANO hhh DOS VER INDX 
195,243170,243974,"The (third brother): ""Relax","El (tercer hermano): ""Tranquilos",INDX TRANQUILO 
196,243992,244528,"Come.""","venid.""",VENIR2 
197,244710,246171,Lights a fire.,(El cerdo) pone una olla en la chimenea, cl.m(Xc):colocar-olla SABER COCINAR 
198,246179,248075,The wolf ignores (this),la olla la había llenado de agua, cl.d(5d):olla-grande AGUA B:cl.d(5d):olla-grande cl.m(A):botella-echar-agua B:cl.d(5d):olla-grande LLENAR B:cl.d(5d):olla-grande 
199,248098,249172,and climbs on the roof,(la pone) al fuego., COCINAR 
200,250048,250711,and goes down the chimney,El lobo ignoraba (esto), LOBO MENTE^NORMAL 
201,250806,251165,"(thinking): ""I will now go down easily through here"".",(y) sube al tejado,cl.e(2d):PERSONA-ascender+a-tejado cl.e(B):TEJADO 
202,251189,251765,The wolf is at the mouth of the chimney,(y) se mete por la chimenea,cl.e(2d):PERSONA-entrar-chimenea cl.e(C):CHIMENEA 
203,251826,252932,It begins to descend,"(mientras piensa:) ""Ahora descenderé fácilmente (por aquí)"".",FÁCIL B:cl.e(C):CHIMENEA cl.e(2b):LOBO-descender+por-chimenea B:cl.e(C):CHIMENEA 
204,253082,253647,"and to get to the bottom... ""Burning hot!"" (shouts the wolf).",El lobo está en la boca de la chimenea,cl.e(2d):PERSONA-sobre-chimenea B:cl.e(C):CHIMENEA 
205,253663,254137,and quickly goes up the fireplace,empieza a descender,G(5 2M):descender-por-interior-chimenea G:descender-por-interior-chimenea 
206,254156,255640,and escapes steaming.,"(y) al llegar al fondo... ""¡Quema!"" (grita el lobo).",cl.e(2d):PERSONA-descender+por-chimenea cl.e(C):CHIMENEA LLAMA B:cl.e(C):CHIMENEA 
207,255698,256717,"The third (brother): ""Are you guys OK?""",asciende (rápidamente) por la chimenea,cl.e(2d):PERSONA-ascender+por-chimenea B:cl.e(C):CHIMENEA 
208,256743,257697,"The two men: ""were right ",(y) escapa humeante.,cl.e:HUMO-alejarse-localización cl.e(B):LOCALIZACIÓN 
209,258071,259949,"the house is safe.""","El tercer (hermano): ""¿Ya (estáis) tranquilos?""",TRES YA VER TRANQUILO G 
210,259971,261663,End.,"Los dos hombres: ""(Tenías) razón ",HOMBRE DOS VERDAD 
1,842,3720,[In the story there is] a child whose sign is this [hair-child],[En la historia hay] Un niño su signo es este [pelo-niño],HOMBRE PEQUEÑO2 SIGNO SN:NIÑO 
2,3752,6872,A dog whose sign is this [dog-ear],un perro su signo es este [oreja-de-perro],OTRO PERRO SIGNO SN:PERRO 
3,6911,9857,And a frog whose sign is this [sack-vowel-of-frog].,y una rana su signo es este [saco-vocal-de-rana].,OTRO ANIMAL RANA SIGNO SN:RANA 
4,10005,12087,The child (was in) his room,El niño (estaba en) su habitación, HABITACIÓN SU SN:NIÑO 
5,12087,14650,(and it) was night,(y) era denoche, FECHA SITUACIÓN NOCHE 
6,14710,15881,(They were) in bed both of them,(Estaban) en cama los dos, CAMA LOS-DOS B:CAMA 
7,15881,18059, with a glass jar (in which was) a frog [its sign], con un frasco de cristal (en el que estaba) la rana [su signo],CRISTAL cl.d(C):frasco INDX cl.e(C):FRASCO SN:RANA B:cl.e(C):FRASCO 
8,18587,21658,The two (were) looking (at the jar),Los dos (estaban) mirando (el frasco),SN:NIÑO B:cl.e(C):FRASCO cl.e(1):PERSONA B:cl.e(C):FRASCO PERRO B:cl.e(C):FRASCO MIRAR(2M) MIRAR cl.e(C):FRASCO 
9,21684,24202,and the frog looked at (them),y la rana los miraba (a ellos),SN:RANA B:cl.e(C):FRASCO MIRAR SN:RANA 
10,24229,27052,They got into bed and fell asleep. ,Se metieron en cama y se durmieron. ,MISMO HORA.RELOJ ACOSTARSE DORMIR(MP) 
11,27112,29339,The frog pulled itself out the mouth of the jar,La rana se asomó por la boca del frasco,INDX SN:RANA cl.e(2d):RANA-salir-frasco cl.e(C):FRASCO 
12,29349,30281,stretched its legs to get out,estiró sus patas para salir de él, cl.c(X):PATAS-andar 
13,30288,31662,and left.,y se fue.,ALEJARSE 
14,31678,34034,The child and the dog slept until sunrise,El niño y el perro durmieron hasta que salió el sol,INDX DORMIR(MP) HASTA DÍA 
15,34081,35446,They woke up with the frog in mind,Despertaron con la rana en mente, DESPERTAR MENTE^OBJETIVO SN:RANA B:MENTE^OBJETIVO 
16,35452,36196,(but) when they got up,(pero) al levantarse, G:niño-se-levanta 
17,36203,37102,The glass jar was empty:,en el frasco de cristal no había nada:, cl.d(C):frasco CRISTAL DESAPARECER 
18,37105,38170,"""How can that be?""","""¿Cómo puede ser?""", cl.e(C):FRASCO G:incomprensión B:cl.e(C):FRASCO MENTE-APAGADA 
19,38433,42087,The dog [dog-ear] looked searched and rummaged everywhere,El perro [oreja-de-perro] miró buscó y rebuscó por todas partes,PERRO B:MENTE-APAGADA SN:PERRO B:MENTE-APAGADA MIRAR B:MENTE-APAGADA BUSCAR(2Msu) BUSCAR(2Msu) cl.e(1):PERRO-desplazarse BUSCAR(2Msu) 
20,42105,43110,Looked under the bed and,pasó por debajo de cama e, CAMA cl.e(1):PERRO-desplazarse+bajo-cama cl.e(1I):CAMA 
21,43129,45042,even looked inside a boot.,incluso miró en el interior de una bota., HASTA BOTA cl.m(A):levantar-bota 
22,45139,46077,Where could it be?,¿Dónde estará?, BUSCAR(2Msu) G:interrogativo G:interrogativo 
23,46079,47233,They also called out to it (where could it be?),también la llamaron (¿dónde estará),MISMO B:G:interrogativo LLAMAR B:G:interrogativo G:interrogativo 
24,47260,49096,The boy opened the window,El niño abrió la ventana, VENTANA cl.e(L):VENTANA-ascender cl.m(A):subir-ventana 
25,49110,50637,And he called out frog.,y llamó a gritos a la rana., VENTANA GRITAR2 B:VENTANA LLAMAR B:VENTANA 
26,50798,53731,The dog who had his snout in the jar jumped out of the window.,El perro que había metido la cabeza en el frasco saltó por la ventana.,PERRO B:VENTANA INDX B:VENTANA cl.e(Hd):PERRO-entrar-frasco cl.e(B):FRASCO cl.e(C):FRASCO-descender cl.e(Q):CABEZA-salir-ventana cl.e(B):VENTANA 
27,53772,55530,The boy (who was) looking for (the frog) and calling (the frog) felt a (big) rumble.,El niño (estaba) buscando y llamando (a la rana) sintió un (gran) estruendo.,BUSCAR B:cl.e(B):VENTANA GRITAR2 B:cl.e(B):VENTANA SONIDO B:cl.e(B):VENTANA 
28,55600,57201,"""It was the dog when it jumped out the window"" (he said) and (also) jumped out.","""Ha sido el perro al saltar por la ventana"" (se dijo) y bajó él (también).",cl.e(2d):PERRO-descender+de-ventana B:cl.e(B):VENTANA INDX B:cl.e(B):VENTANA cl.e(2d):PERRO-descender+de-ventana B:cl.e(B):VENTANA 
29,57207,57978,Lifted the animal in his arms,Cogió en brazos al animal, cl.m(Bd):coger-perro 
30,57984,58599,and it licked his face,y este le lamió la cara,cl.c(B):LENGUA-lamer B:cl.m(Bd):coger-perro 
31,58610,59996,because the glass jar had shattered on the floor.,porque el cristal se había despedazado por el suelo.,MOTIVO B:cl.m(Bd):coger-perro CRISTAL B:cl.m(Bd):coger-perro GRIETA B:cl.m(Bd):coger-perro ROMPER cl.d(5h):esparcirse-añicos B:ROMPER 
32,60003,60373,He took it in his arms,Lo cogio en brazos, cl.m(Bd):coger-perro 
33,60377,60972,and it licked his face,el perro le lamió la cara,cl.c(B):LENGUA-lamer B:cl.m(Bd):coger-perro 
34,61014,61972,and they began to walk,y se pusieron a caminar, CAMINAR(MP) 
35,61986,63070,calling out to the frog.,llamando a la rana.,GRITAR2 B:CAMINAR(MP) 
36,63087,67530,(They arrived) to a forest with many trees and there was a wasp hive in one of them.,(Llegaron) a un bosque en el que (había) muchos árboles en uno de ellos pendía una colmena de avispas., PAISAJE UNO ÁRBOL cl.d(5h):copas-árboles UNO ÁRBOL cl.e(Q):COLMENA-en-árbol cl.e(5):ÁRBOL HABER B:cl.e(5):ÁRBOL AVISPA 
37,68070,68714,The child called out (to the frog),El niño llamaba (a la rana),GRITAR2 
38,68724,70437,and the dog meanwhile was walking through the forest.,y el perro mientras andaba por el bosque.,SN:PERRO MIENTRAS cl.e(Hd):PERRO-desplazarse+de-suelo cl.e(Bh):SUELO 
39,70444,71574,"""Frog! You Frog!""","""¡Rana! ¡Rana!""",GRITAR2 
40,71609,72185,searching among the grass it discovered something,Buscando entre la hierba descubrió algo, cl.m(5h):rebuscar-en+hierba INDX 
41,72211,75180,"A hidden burrow. It approached the burrow and called: Frog!""","una madriguera escondida. Se acercó llamó: ""¿Rana?""",cl.d(1):madriguera-forma cl.e(C):MADRIGUERA cl.d(5):hierba-sobre-madriguera B:cl.e(C):MADRIGUERA cl.d(1):madriguera-forma B:cl.e(C):MADRIGUERA LLAMAR B:cl.e(C):MADRIGUERA GRITAR2 B:cl.e(C):MADRIGUERA 
42,75255,77177,and from inside came out a smelly rodent.,y de su interior salió un roedor maloliente.,RATÓN B:cl.e(C):MADRIGUERA G:repugnancia B:cl.e(C):MADRIGUERA OLER^MAL-OLOR B:cl.e(C):MADRIGUERA INDX B:cl.e(C):MADRIGUERA RATÓN B:cl.e(C):MADRIGUERA 
43,77203,81482,while the dog jumped trying to reach the hive.,Mientras el perro saltaba intentando alcanzar la colmena.,INDX B:cl.e(C):MADRIGUERA MIENTRAS B:cl.e(C):MADRIGUERA SN:PERRO B:cl.e(C):MADRIGUERA cl.e(Hd):PERRO-saltar+sobre-suelo cl.e(Bh):SUELO MENTE^OBJETIVO AVISPA cl.e(Hd):PERRO-saltar-localización cl.e(B):LOCALIZACIÓN 
44,81574,83101,The boy continued searching.,El niño seguía con la búsqueda.,SN:NIÑO CONTINUAR BUSCAR B:CONTINUAR 
45,83119,85145,There was a dark hole in a tree ,En un árbol había un agujero oscuro ,INDX B:CONTINUAR ÁRBOL cl.d(1):hueco-forma cl.d(C):hueco-en-tronco OSCURO 
46,85172,85458,The boy,el niño, cl.m(5):apoyarse-en+tronco 
47,85461,85954,climbed up,se subió,cl.e(2b):PERSONA-ascender+por-tronco cl.e(B):TRONCO 
48,85973,86748,and looked inside.,y miró en su interior., cl.m(5):apoyarse-en+tronco 
49,86781,89393,An owl a nocturnal bird with large eyes flew out the hole and scared him,Del agujero salió un buho un ave nocturna de grandes ojos y lo asustó,ASUSTAR B:cl.m(5):apoyarse-en+tronco cl.e(Q):CABEZA+ANIMAL-ascender B:cl.m(5):apoyarse-en+tronco RAPAZ^VOLAR cl.d(Xa):ojos-grandes NOCHE 
50,89493,90479,The boy fell backwards.,El niño cayó hacia atrás.,cl.e(2d):PERSONA-caer+de-tronco cl.e(Bh):TRONCO cl.e(2b):PERSONA-caer-suelo cl.e(Bh):SUELO 
51,90484,94364,at that moment the dog was chased by a swarm of wasps,En ese momento el perro era perseguido por un enjambre de avispas,INDX MISMO HORA.RELOJ INDX B:HORA.RELOJ SN:PERRO B:HORA.RELOJ cl.d(Cc&amp;gt;5):perro-huir B:HORA.RELOJ AVISPA(1M) B:HORA.RELOJ cl.d(5):enjambre-desplazarse 
52,94430,96064,and the dog ran away.,y el perro se alejó corriendo.,SN:PERRO cl.c(B):garras-correr ALEJARSE 
53,96114,97006,"""Complicated"" (thought) the child which had fallen","""Qué complicado"" (pensó) el niño que había caído",cl.e(2d):PERSONA-caer-suelo cl.e(Bh):SUELO COMPLICADO 
54,97018,97544,They continued on their way,(Siguieron) caminando, CAMINAR(MP) 
55,97553,98617,searching,y buscando, BUSCAR(2Msu) 
56,98955,100959,The child climbed up on a stone,El niño se subió a una piedra,INDX PIEDRA cl.d(5d):piedra cl.d(5d):piedra cl.e(2d):PERSONA-ascender+a-piedra cl.e(5d):PIEDRA 
57,100979,103133,behind which were some branches.,detrás de la que había una especie de ramas., hhh cl.d(1):ramas 
58,103145,105162,He touched them and they began to move.,Al agarrarse a ellas (notó) que se movían., cl.m(5&amp;gt;A):agarrar-ramas MOVER cl.m(A):agarrar-ramas 
59,105192,106809,He was standing on something that was also moving (without knowing what it was),Montó sus piernas en algo que también se movía (sin saber de qué se trataba),cl.e(2b):PERSONA-sobre-entidad cl.e(1):ENTIDAD cl.m(A):agarrar-ramas G:¿Qué B:cl.m(A):agarrar-ramas 
60,106818,107769,and when he was relaxed an animal emerged.,y en un momento en el que se relajó emergió un animal., G:niño-relajarse cl.e(2b):PERSONA-sobre-entidad cl.e(1):ENTIDAD-ascender 
61,107782,108927,What a fright! it was a deer,Qué susto ¡era un ciervo, ASUSTAR(2M) cl.d(4):cornamenta-forma 
62,108937,109740,and he had stood on its back!,y él estaba en su lomo!,cl.e(1):PERSONA-sobre-ciervo cl.m(A):agarrar-cuernos G:estupefacción B:cl.m(A):agarrar-cuernos 
63,109756,111195,I could not understand how (this was possible),No podía comprender cómo (era posible),SN:NIÑO B:cl.m(A):agarrar-cuernos MENTE^APAGAR cl.m(A):agarrar-cuernos MOTIVO B:cl.m(A):agarrar-cuernos cl.m(A):agarrar-cuernos 
64,111286,112177,The dog barked,El perro ladraba,PERRO B:cl.m(A):agarrar-cuernos LADRAR(MP) 
65,112382,113706,while the child galloped on the back of the deer,mientras el niño galopaba a lomos del ciervo,SN:NIÑO cl.e(2d):PERSONA-botar-ciervo cl.e(Bh):CIERVO cl.c(A):pezuñas-correr 
66,113757,114746,at full speed,a toda velocidad, cl.m(A):agarrar-cuernos 
67,114755,115579,until the ruminant stopped,hasta que el rumiante paró, cl.m(A):agarrar-cuernos 
68,115598,116433,and the boy flew out.,y salió despedido.,cl.e(2b):PERSONA-caer+de-ciervo cl.e(Bh):CIERVO 
69,116667,118148,The dog which was barking was likewise thrown,El can ladrando salió igualmente despedido,PERRO B:cl.e(Bh):CIERVO LADRAR B:cl.e(Bh):CIERVO cl.e(2d):PERRO-caer cl.e(Bh):CIERVO 
70,118155,120160,The two rushed,Los dos se precipitaron,LOS-DOS B:cl.e(Bh):CIERVO cl.e(2d):PERSONA-caer-con+perro cl.e(2d):PERRO-caer-con+persona 
71,120207,121914,and fell into the water.,y cayeron al agua.,AGUA B:cl.e(2d):PERRO-caer-con+persona cl.e(2d):PERSONA-caer-con+perro cl.e(2d):PERRO-caer-con+persona cl.d(A&amp;gt;5):onda-acuática cl.d(5h):onda-acuática 
72,121919,124050,"When in the water (he said) ""What a fright!""","Ya en el agua (se dijo) ""¡Qué susto!""",AGUA B:cl.d(5h):onda-acuática cl.d(5):agua-superficie ASUSTAR B:cl.d(5):agua-superficie G:alivio B:cl.d(5):agua-superficie 
73,124331,125777,The dog barks,El perro jadeando...,PERRO B:B:cl.d(5):agua-superficie G:perro 
74,125807,129288,"""Shh! I've heard the frog it is there."" ","""¡Shh! He oído a la rana está aí."" ",ESCUCHAR B:G:perro INDX G:pausa G:pausa B:G:pausa SILENCIO B:G:pausa ESCUCHAR B:G:pausa HABER B:G:pausa SN:RANA B:G:pausa INDX B:G:pausa 
75,129307,129826,He placed his hands (on the ground),Apoyó sus manos, cl.m(5):apoyarse-árbol 
76,130084,132374,There was a fallen tree,había un árbol caído, ÁRBOL EMPUJAR cl.e(1):ÁRBOL-caído cl.e(Bh):SUELO 
77,132875,133575,He placed his hands,apoyó sus manos,SN:NIÑO cl.m(5):apoyarse-en+tronco 
78,133581,134267,and he peered over the top.,y se asomó por encima.,cl.e(2d):PERSONA-ascender+a-tronco cl.e(Bh):TRONCO 
79,134277,136237,The dog also peered,El perro también se asomó,TAMBIÉN B:cl.e(Bh):TRONCO SN:PERRO B:cl.e(Bh):TRONCO cl.e(2d):PERRO-ascender+a-tronco cl.e(Bh):TRONCO 
80,136242,137189,supporting its feet on the trunk.,apoyando sus patas en el tronco., cl.m(Bd):apoyarse-en+tronco 
81,137198,137524,The child searched for the frog from there.,Desde allí el niño buscó la rana.,cl.e(2d):PERSONA-asomarse B:cl.m(Bd):apoyarse-en+tronco 
82,137534,140409,"""Oh!"" Amazing! The two our frog and another they are a couple are wedded.","""¡Oh!"" ¡Asombroso! Las dos nuestra rana y otra son pareja son novias.",INDX B:cl.m(Bd):apoyarse-en+tronco MENTE-APAGADA(1M) B:cl.m(Bd):apoyarse-en+tronco LOS-DOS B::cl.m(Bd):apoyarse-en+tronco SN:RANA LOS-DOS PAREJA NOVIO 
83,140414,141227,Surprising.,Sorprendente., G:sorpresa MENTE-APAGADA(1M) 
84,141253,142315,"How beautiful!""","Qué bonito.""",INDX cl.m(5d):apoyarse-en+tronco BONITO2 
85,142320,144964,Incredible (they have had) many offspring,Increíble (han tenido) muchas crías, SORPRESA NACER cl.e(5):RANAS-fila MENTE-APAGADA 
86,144979,146130,(All) jumping.,(Todas) dando saltos., cl.e(Hd):RANAS-saltar RANA 
87,146133,147122,"""Beautiful.""","""Qué hermoso.""",G:niño-observa cl.m(5):apoyarse-en+tronco BONITO B:cl.m(5):apoyarse-en+tronco 
88,147133,148986,The boy picked his frog in his hand ,El niño cogió su rana en mano ,INDX B:cl.m(5):apoyarse-en+tronco cl.m(5d):coger-rana INDX B:cl.m(5d):coger-rana cl.m(5d):coger-rana 
89,148989,149879,and was walking away (but),y se alejaba (pero),ALEJARSE cl.m(5d):agarrar-rana G:cambio-de-parecer B:cl.m(5d):agarrar-rana 
90,149886,151510,he returned again,volvió de nuevo,INDX B:cl.m(5d):agarrar-rana OTRA-VEZ VOLVER 
91,151514,152797,returned the frog,devolvió la rana, DAR(2M) 
92,152904,153968,and said goodbye.,y (les) dijo adiós.,DECIR B:DAR(2M) SALUDO B:DAR(2M) 
1,2144,5040,In a field between green mountains  ,En un lugar entre montañas verdes había un campo , PAISAJE VERDE B:PAISAJE cl.d(5):hierba-recubriendo-monte B:PAISAJE CAMPO cl.e(L):CAMPO-localización 
2,5270,6188,lay  a tree.,en el que se encontraba un árbol., ÁRBOL cl.e(5):ÁRBOL 
3,6552,9177,The weather was hot like in the summer.,Hacía muy buen tiempo como de verano.,CLIMA BUENO IGUAL VERANO B:IGUAL ES.ASÍ 
4,9239,9570,continues,Sigo.,G:prosigo 
5,10221,12413,A man climbed up the tree (with a ladder),Un hombre estaba subido a un árbol (con ayuda de una escalera),HOMBRE PERSONA ÁRBOL cl.e(2d):PERSONA-ascender+a-árbol cl.e(5):ÁRBOL 
6,12809,14972,this was a pear tree.,Era un peral.,QUÉ TIPO PERA 
7,15118,16334,He began picking pears to pack into the sack he was carrying.,Comenzó a recoger peras para el saco que portaba.,cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO 
8,16445,17512,He had a beard and was wearing a wide-brimmed hat,Tenía barba y llevaba puesto un sombrero de ala ancha., cl.d(Qa):sombrero-ala-ancha cl.d(5d):barba-forma 
9,17580,18521,(and) was plucking pears from different branches,Estaba cogiendo peras de distintas ramas,cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO 
10,18528,18970,The man was at the tree top ,Subido en lo alto del árbol,cl.e(2d):PERSONA-ascender+a-árbol cl.e(5):ÁRBOL 
11,18977,20372,picking the pears.,cogía y cogía las peras.,cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO 
12,20454,21807,when a pear fell rolling outside the sack.,Una pera cayó rodando por fuera del saco.,UNO B:cl.e(B):SACO MANZ- B:cl.e(B):SACO PERA2 B:cl.e(B):SACO cl.e(Cc):FRUTA-caer+de-saco B:cl.e(B):SACO 
13,22034,23209,The man continued picking pears and upon finishing,El hombre siguió recogiendo peras y al acabar,cl.m(A&amp;gt;5):coger+guardar-fruta B:cl.e(B):SACO LISTO(1M) B:cl.e(B):SACO 
14,23292,24414,he climbed down the tree,bajó del árbol.,cl.e(2d):PERSONA-descender+de-árbol cl.e(5):ÁRBOL LISTO(1M) B:cl.e(5):ÁRBOL 
15,24698,27176,(Under the tree) there was a line of three baskets,(Bajo el árbol) situadas en línea estaban tres cestas, CESTO TRES B:CESTO CESTO TRES B:CESTO 
16,27389,29162,containing pears (that the man had emptied) from the sack,que contenían las peras (que el hombre echaba) del saco, cl.d(5d):saco-del-regazo AHORA HABER PERA cl.d(5d):cestas-llenas-de-peras 
17,29299,30706,He put the pears in the baskets.,Vació las peras en las cestas., cl.m(Cc&amp;gt;5d):echar-fruta 
18,30775,32328,He picked a pear and observed it carefully.,Tomó una pera y la observó bien.,UNO B:cl.m(Cc&amp;gt;5d):echar-fruta cl.m(5d):coger-fruta cl.m(5d):examinar-fruta 
19,33036,34244,It was the pear that had fallen earlier.,Era la pera que previamente había caído al suelo.,LO-DE-ANTES cl.e(Cc):FRUTA-caer-suelo cl.e(Bh):SUELO INDX 
20,34333,36327,He took it in his hands and looked to see if it was clean,La tomó en sus manos y observó detenidamente si estaba limpia,COGER cl.m(5d):examinar-fruta PURO cl.m(5d):agarrar-fruta 
21,36363,38791,"""Ah!"" ""I (can) clean it with the handkerchief” (he thought)","""Ah!"" (se dijo) ""Con el pañuelo (puedo) limpiar la pera""",G:¡ah! cl.m(5d):agarrar-pera PAÑOLETA cl.m(4d):frotar-fruta cl.m(C):agarrar-fruta PURO B:cl.m(C):agarrar-fruta 
22,38801,40065,and put it in the basket with care.,Y la depositó en el cesto con cuidado.,cl.m(4d):colocar-fruta cl.m(C):colocar-fruta PREPARAR LISTO 
23,40176,41161,He saw that the baskets were getting full,Vio que las cestas estaban listas,MIRAR B:ASÍ LISTO 
24,41241,42629,climbed back into the tree,subió de nuevo al árbol,AHORA OTRA-VEZ cl.e(2d):PERSONA-ascender+a-árbol cl.e(5):ÁRBOL 
25,42831,43572,(and) continued collecting pears.,siguió recogiendo peras.,cl.m(5d):coger+guardar-fruta cl.e(B):SACO 
26,43988,49754,Then came another person a boy wearing a hat on a huge bike.,Entonces llegó otra persona un niño con sombrero pedaleando en una bicicleta enorme.,OTRO B:cl.e(B):SACO VENIR B:cl.e(B):SACO UNO B:cl.e(B):SACO HOMBRE B:cl.e(B):SACO PEQUEÑO2 B:cl.e(B):SACO CON SOMBRERO CON BICICLETA ENORME B: BICICLETA BICICLETA BICICLETA cl.m(A):agarrar-manillar 
27,49928,50662,The man continued plucking pears.,El hombre seguía recogiendo peras.,cl.m(5d):coger+guardar-fruta cl.e(B):SACO 
28,51077,53757,The child on the bike approached  pedalling at a good pace.,El niño de la bici se iba acercando pedaleando a buen ritmo.,cl.e(Xa):BICICLETA-aproximarse cl.e(B):SACO BICICLETA HOMBRE B: BICICLETA BICICLETA BICICLETA 
29,53821,54749,He looked up the tree,Miró hacia lo alto del árbol,MIRAR B:BICICLETA ÁRBOL MIRAR B:ÁRBOL 
30,54761,56594,(and) saw a man.,(y vio que) allí había un hombre.,HABER B:ÁRBOL HOMBRE B:ÁRBOL INDX B:ÁRBOL G:efectivamente B:ÁRBOL 
31,56765,57305,He looked down,Miró hacia abajo,MIRAR B:ÁRBOL 
32,57316,59274,"""I want one of these pears from the basket"" (he thought).","""Quiero una pera de esas [de la cesta]"" (se dijo).",INDX B:ÁRBOL QUERER B:ÁRBOL INDX B:ÁRBOL PERA2 B:ÁRBOL INDX B:ÁRBOL G:¿cómo-puedo-hacer? B:ÁRBOL 
33,59438,60438,He looked back at the man.,Volvió a mirar al hombre.,MIRAR B:ÁRBOL 
34,60488,62073,"""just one"" (he thought)","""Una nada más"" (pensó)",INDX.LOC B:ÁRBOL UNO B:ÁRBOL B:UNO cl.m(5d):coger-fruta NO B:cl.m(5d):coger-fruta 
35,62087,64527,"""to hell I prefer a basket.""","""Al cuerno prefiero una cesta.""",A-POR-TODAS B:cl.m(5d):coger-fruta UNO B:cl.m(5d):coger-fruta CESTO QUERER B:CESTO INDX B:CESTO 
36,64579,66033,He looked (at the man at the tree top and decided).,Miró (al hombre en lo alto y se decidió).,MIRAR B:CESTO G:incumplimiento B:CESTO 
37,66082,69091,Then he took the basket picked it up and placed it (on the handlebar),Entonces agarró la cesta la levantó y la colocó (en su bicicleta sobre el manillar), G:se-dispone-a-agarrar-cesta AHORA MISMO INDX cl.m(5d):colocar-cesta cl.m(Xc):colocar-cesta 
38,69751,71574,After loading the basket on the bike ,Una vez cargada la cesta en su bicicleta , BICICLETA cl.m(Xc):colocar-cesta-en+bicicleta cl.e(Bl):BICICLETA 
39,71583,72020,he climbed on the bike,el niño se montó en ella.,cl.e(2b):PERSONA-ascender+a-bicicleta B:cl.e(Bl):BICICLETA 
40,72153,73090,but could hardly manage to ride the bike,A duras penas conseguía manejar la bicicleta, cl.m(A):agarrar-manillar COSTAR B:cl.m(A):agarrar-manillar cl.m(A):agarrar-manillar 
41,73105,73742,because (the handlebar) was heavy.,porque (su manillar) pesaba mucho., IGUAL PESADO 
42,73775,75018,He continued pedalling with difficulty and continued on his way.,Siguió pedaleando con dificultad y en la bicicleta continuó su camino., BICICLETA cl.e(Xa):BICICLETA-alejarse-suelo cl.e(Bh):SUELO 
43,75288,76309,In the meantime the man in the tree was oblivious to everything,Mientras tanto el hombre en el árbol seguía ajeno a todo,HOMBRE B:cl.e(Bh):SUELO cl.e(1):PERSONA-localización B:cl.e(Bh):SUELO MENTE^NORMAL 
44,76344,77960,and picking fruit,recogiendo fruta,cl.m(5d&amp;gt;5):coger+guardar-fruta cl.e(B):SACO 
45,77968,78289,not concerned about anything,sin preocuparse, MENTE^NORMAL 
46,78298,79116,all by himself,siguiendo a lo suyo, CONTINUAR G:a-su-manera 
47,79192,80718,The man kept (at his task which is what) saved the child (who) disappeared into the distance,El hombre siguió (a lo suyo fue lo que) salvó al niño (que) se alejó,HOMBRE PERSONA CONTINUAR SALVAR ALEJARSE 
48,80752,82354,cycling the heavy bike with difficulty ,manejando con esfuerzo la pesada bicicleta , BICICLETA FUERTE cl.m(A):agarrar-manillar 
49,82375,83528,zig zagging along.,que zizagueante seguía su curso.,cl.e(Bl):BICICLETA-desplazarse-suelo cl.e(Bh):SUELO cl.e(Xa):BICICLETA-desplazarse-suelo B:cl.e(Bh):SUELO 
50,83537,85377,It is hard cycling a bike around bends.,Realmente dar las curvas con la bici cargada cuesta., cl.m(A):agarrar-manillar G:dubitación COSTAR cl.m(A):agarrar-manillar 
51,85402,87200,A girl happened to also pass by on a bike ,Casualmente pasaba por allí en bicicleta una niña ,CASUAL B:cl.m(A):agarrar-manillar MUJER B:cl.m(A):agarrar-manillar OTRO B:cl.m(A):agarrar-manillar BICICLETA 
